Municipio,Subtipo de delito,Casos
Abasolo,Homicidio culposo,190.0
Abasolo,Homicidio doloso,140.0
Acámbaro,Homicidio culposo,216.0
Acámbaro,Homicidio doloso,360.0
Apaseo el Alto,Homicidio culposo,92.0
Apaseo el Alto,Homicidio doloso,291.0
Apaseo el Grande,Homicidio culposo,173.0
Apaseo el Grande,Homicidio doloso,497.0
Atarjea,Homicidio culposo,4.0
Atarjea,Homicidio doloso,1.0
Celaya,Homicidio culposo,437.0
Celaya,Homicidio doloso,2394.0
Comonfort,Homicidio culposo,68.0
Comonfort,Homicidio doloso,178.0
Coroneo,Homicidio culposo,20.0
Coroneo,Homicidio doloso,7.0
Cortazar,Homicidio culposo,80.0
Cortazar,Homicidio doloso,259.0
Cuerámaro,Homicidio culposo,66.0
Cuerámaro,Homicidio doloso,19.0
Doctor Mora,Homicidio culposo,34.0
Doctor Mora,Homicidio doloso,16.0
Dolores Hidalgo Cuna de la Independencia Nacional,Homicidio culposo,256.0
Dolores Hidalgo Cuna de la Independencia Nacional,Homicidio doloso,175.0
Guanajuato,Homicidio culposo,68.0
Guanajuato,Homicidio doloso,188.0
Huanímaro,Homicidio culposo,41.0
Huanímaro,Homicidio doloso,41.0
Irapuato,Homicidio culposo,1072.0
Irapuato,Homicidio doloso,1462.0
Jaral del Progreso,Homicidio culposo,38.0
Jaral del Progreso,Homicidio doloso,179.0
Jerécuaro,Homicidio culposo,65.0
Jerécuaro,Homicidio doloso,73.0
León,Homicidio culposo,592.0
León,Homicidio doloso,3724.0
Manuel Doblado,Homicidio culposo,48.0
Manuel Doblado,Homicidio doloso,10.0
Moroleón,Homicidio culposo,27.0
Moroleón,Homicidio doloso,97.0
Ocampo,Homicidio culposo,38.0
Ocampo,Homicidio doloso,16.0
Pueblo Nuevo,Homicidio culposo,23.0
Pueblo Nuevo,Homicidio doloso,72.0
Purísima del Rincón,Homicidio culposo,50.0
Purísima del Rincón,Homicidio doloso,216.0
Pénjamo,Homicidio culposo,342.0
Pénjamo,Homicidio doloso,394.0
Romita,Homicidio culposo,72.0
Romita,Homicidio doloso,40.0
Salamanca,Homicidio culposo,474.0
Salamanca,Homicidio doloso,1162.0
Salvatierra,Homicidio culposo,114.0
Salvatierra,Homicidio doloso,632.0
San Diego de la Unión,Homicidio culposo,69.0
San Diego de la Unión,Homicidio doloso,21.0
San Felipe,Homicidio culposo,175.0
San Felipe,Homicidio doloso,81.0
San Francisco del Rincón,Homicidio culposo,120.0
San Francisco del Rincón,Homicidio doloso,526.0
San José Iturbide,Homicidio culposo,198.0
San José Iturbide,Homicidio doloso,150.0
San Luis de la Paz,Homicidio culposo,182.0
San Luis de la Paz,Homicidio doloso,227.0
San Miguel de Allende,Homicidio culposo,186.0
San Miguel de Allende,Homicidio doloso,288.0
Santa Catarina,Homicidio culposo,5.0
Santa Catarina,Homicidio doloso,0.0
Santa Cruz de Juventino Rosas,Homicidio culposo,119.0
Santa Cruz de Juventino Rosas,Homicidio doloso,192.0
Santiago Maravatío,Homicidio culposo,8.0
Santiago Maravatío,Homicidio doloso,67.0
Silao de la Victoria,Homicidio culposo,424.0
Silao de la Victoria,Homicidio doloso,262.0
Tarandacuao,Homicidio culposo,23.0
Tarandacuao,Homicidio doloso,20.0
Tarimoro,Homicidio culposo,44.0
Tarimoro,Homicidio doloso,226.0
Tierra Blanca,Homicidio culposo,19.0
Tierra Blanca,Homicidio doloso,8.0
Uriangato,Homicidio culposo,61.0
Uriangato,Homicidio doloso,122.0
Valle de Santiago,Homicidio culposo,193.0
Valle de Santiago,Homicidio doloso,545.0
Victoria,Homicidio culposo,15.0
Victoria,Homicidio doloso,12.0
Villagrán,Homicidio culposo,107.0
Villagrán,Homicidio doloso,204.0
Xichú,Homicidio culposo,6.0
Xichú,Homicidio doloso,8.0
Yuriria,Homicidio culposo,61.0
Yuriria,Homicidio doloso,264.0
